slice_file_name,fsID,start,end,salience,fold,classID,class
101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark
103074-7-1-1.wav,103074,23.017317,27.017317,1,1,7,jackhammer
103074-7-3-3.wav,103074,48.132637,52.132637,1,1,7,jackhammer
103074-7-4-5.wav,103074,63.151482,67.151482,1,1,7,jackhammer
103258-5-0-18.wav,103258,9.0,13.0,1,1,5,engine_idling
103258-5-0-7.wav,103258,3.5,7.5,1,1,5,engine_idling
105415-2-0-21.wav,105415,10.5,14.5,1,1,2,children_playing
106905-8-0-0.wav,106905,43.636489,47.636489,2,1,8,siren
106905-8-0-3.wav,106905,45.136489,49.136489,2,1,8,siren
172314-9-0-80.wav,172314,40.0,44.0,2,1,9,street_music
174276-7-4-0.wav,174276,20.007403,24.007403,1,1,7,jackhammer
100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark
123688-8-1-2.wav,123688,57.044659,61.044659,1,2,8,siren
132073-1-2-0.wav,132073,4.41645,4.78231,2,2,1,car_horn
143970-5-0-3.wav,143970,5.930266,9.930266,1,2,5,engine_idling
147672-3-1-0.wav,147672,1.726745,2.188385,1,2,3,dog_bark
102105-3-0-0.wav,102105,2.041889,6.041888999999999,2,3,3,dog_bark
103199-4-2-2.wav,103199,18.617205,22.617205,1,3,4,drilling
103199-4-7-2.wav,103199,52.916188,56.916188,2,3,4,drilling
110622-6-0-0.wav,110622,0.0,1.501211,1,3,6,gun_shot
